location_id,casualties,fatalities,year,position_id,day_bool,crashtype_id,dui_bool,drugs_bool
CAMPBELLTOWN,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
O'HALLORAN HILL,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,TRUE
BRADBURY,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
WATTLE RANGE,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
HAWTHORNDENE,1,0,2016,Not Divided,FALSE,Hit Fixed Object,TRUE,TRUE
LOWER LIGHT,2,0,2016,Divided Road,FALSE,Roll Over,FALSE,FALSE
TILLEY SWAMP,1,0,2016,T-Junction,TRUE,Rear End,FALSE,FALSE
TAILEM BEND,2,0,2016,Divided Road,FALSE,Hit Parked Vehicle,FALSE,TRUE
PAGES FLAT,1,0,2016,Not Divided,TRUE,Hit Fixed Object,TRUE,TRUE
MIDDLETON,1,0,2016,T-Junction,TRUE,Roll Over,FALSE,FALSE
VICTOR HARBOR,1,0,2016,Cross Road,FALSE,Hit Fixed Object,FALSE,FALSE
RIDLEYTON,1,0,2016,Cross Road,TRUE,Rear End,FALSE,FALSE
PINNAROO,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
SEACOMBE GARDENS,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
NORTH HAVEN,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
AVENUE RANGE,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
POORAKA,1,0,2016,Divided Road,FALSE,Hit Fixed Object,FALSE,FALSE
BROOKLYN PARK,1,0,2016,T-Junction,TRUE,Right Turn,FALSE,FALSE
WOKURNA,2,0,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
ADELAIDE,1,0,2016,Cross Road,FALSE,Hit Pedestrian,FALSE,FALSE
INGLEWOOD,3,0,2016,Not Divided,TRUE,Hit Fixed Object,TRUE,FALSE
